,oil_value_2014,gas_value_nom,oil_price_nom,oil_gas_value_2014,oil_value_nom,gas_prod55_14,gas_value_2014,mult_nom_2014
1932,22135764009,0,162.69,22135764009,1277900840,0,0,3239.208973
1933,19717445559,0,125.29,19717445559,1079988980,0,0,3414.07402
1934,30016794025,0,187,30016794025,1698745695,0,0,3304.285332
1935,30889994841,0,181.39,30889994841,1792101071,0,0,3223.271906
1936,37402731082,0,203.83,37402731082,2190398217,0,0,3193.168556
1937,44192823074,0,220.66,44192823074,2681734669,0,0,3081.609084
1938,42235602110,0,211.31,42235602110,2515268921,0,0,3140.044998
1939,40186242909,0,190.74,40186242909,2359295294,0,0,3185.200022
1940,40937014997,0,190.74,40937014997,2426643892,0,0,3154.653976
1941,36308863307,0,213.18,36308863307,2259469660,0,0,3005.02262
1942,32084251934,0,222.53,32084251934,2210168915,0,0,2714.613834
1943,33721540508,0,224.4,33721540508,2464849497,0,0,2558.342033
1944,37607959584,0,226.27,37607959584,2796836833,0,0,2514.515098
1945,37574179693,0,196.35,37574179693,2858747154,0,0,2457.849969
1946,39343577908,0,209.44,39343577908,3249106214,0,0,2264.391677
1947,64847901233,0,355.3,64847901233,6122596514,0,0,1980.623336
1948,71912298734,0,372.13,71912298734,7317894311,0,0,1837.632424
1949,64886564298,0,332.86,64886564298,6536806231,0,0,1856.22567
1950,69093207585,0,319.77,69093207585,7031019723,0,0,1837.632424
1951,72287756716,0,319.77,72287756716,7939463609,0,0,1702.610047
1952,74558547094,0,319.77,74558547094,8365042477,0,0,1666.751645
1953,88981478127,0,360.91,88981478127,10063399281,0,0,1653.470755
1954,92966761105,0,360.91,92966761105,10565032426,0,0,1645.502221
1955,1.05E+11,3792886027,360.91,1.39E+11,11915471945,1968.133928,33510100709,1652.142666
1956,1.14E+11,4454249426,360.91,1.53E+11,13065698000,2118.022087,38783818243,1628.237065
1957,1.15E+11,4826848503,355.3,1.55E+11,13660703198,2295.2282,40554025771,1571.12924
1958,1.27E+11,5547503174,388.96,1.72E+11,15515959295,2395.322572,45400563606,1530.401178
1959,1.37E+11,6653705453,388.96,1.91E+11,16888576284,2667.203795,53981131214,1517.120289
1960,1.36E+11,9546872141,355.3,2.12E+11,16970254773,3541.779788,76232779139,1493.214687
1961,1.37E+11,11217041771,336.6,2.26E+11,17339148560,3944.080347,88692951864,1478.605709
1962,1.46E+11,13171655948,336.6,2.49E+11,18606783011,4333.78824,1.03E+11,1462.668641
1963,1.55E+11,14322371803,336.6,2.65E+11,20007177955,4720.567218,1.11E+11,1445.403485
1964,1.65E+11,15113196356,336.6,2.80E+11,21590796887,5273.783214,1.15E+11,1425.48215
1965,1.74E+11,17581228835,336.6,3.06E+11,23191674549,5777.245899,1.32E+11,1401.576549
1966,1.84E+11,19030785278,336.6,3.23E+11,25227347891,6260.044228,1.39E+11,1363.504666
1967,1.92E+11,20518767261,336.6,3.38E+11,27164274404,6754.638173,1.45E+11,1324.990086
1968,2.00E+11,22746104336,336.6,3.55E+11,29451827394,7524.569686,1.55E+11,1271.866527
1969,2.06E+11,26658135513,336.6,3.78E+11,31866455625,8238.750244,1.72E+11,1206.790168
1970,2.13E+11,35101168970,336.6,4.27E+11,34945318717,10835.00447,2.14E+11,1139.500328
1971,2.69E+11,38056881788,418.88,4.91E+11,46112859505,11527.98634,2.22E+11,1091.689125
1972,3.05E+11,39989706312,463.76,5.32E+11,53936030722,12113.93757,2.26E+11,1058.486901
1973,4.15E+11,44806591609,615.23,6.54E+11,77895265181,12853.04219,2.39E+11,996.5094163
1974,1.33E+12,49892537323,2165.46,1.57E+12,2.77E+11,13189.57676,2.40E+11,898.2308333
1975,1.17E+12,61672035041,2156.11,1.44E+12,2.66E+11,13147.43755,2.71E+11,822.9724589
1976,1.33E+12,82643776078,2393.6,1.68E+12,3.21E+11,13991.38285,3.44E+11,777.8174342
1977,1.41E+12,1.13E+11,2603.04,1.85E+12,3.62E+11,14297.96422,4.42E+11,730.0062317
1978,1.33E+12,1.14E+11,2621.74,1.74E+12,3.65E+11,15001.8489,4.15E+11,678.9820859
1979,2.83E+12,1.54E+11,5911.07,3.33E+12,8.67E+11,15882.06997,5.02E+11,609.7745455
1980,2.81E+12,2.37E+11,6887.21,3.49E+12,9.77E+11,16103.51488,6.82E+11,537.2528155
1981,2.38E+12,3.03E+11,6718.91,3.17E+12,9.13E+11,16518.07331,7.88E+11,487.0146535
1982,1.95E+12,3.35E+11,6165.39,2.78E+12,7.96E+11,16846.3062,8.23E+11,458.7526632
1983,1.69E+12,3.11E+11,5525.85,2.43E+12,7.10E+11,17188.5531,7.39E+11,444.4742169
1984,1.59E+12,3.28E+11,5381.86,2.33E+12,6.96E+11,18499.6105,7.47E+11,426.07923
1985,1.47E+12,3.35E+11,5153.72,2.20E+12,6.67E+11,19406.28085,7.36E+11,411.4278067
1986,7.89E+11,3.06E+11,2698.41,1.45E+12,3.65E+11,20330.68288,6.61E+11,403.92
1987,9.82E+11,1.79E+11,3447.352368,1.35E+12,4.71E+11,16349.0034,3.73E+11,389.6974648
1988,7.92E+11,1.73E+11,2790.758398,1.14E+12,3.96E+11,17208.39426,3.46E+11,374.2149789
1989,9.27E+11,1.79E+11,3408.283187,1.27E+12,4.85E+11,17724.27371,3.41E+11,357.0131613
1990,1.15E+12,2.20E+11,4436.728396,1.55E+12,6.36E+11,16473.70407,3.98E+11,338.711798
1991,7.99E+11,2.09E+11,3740.633032,1.16E+12,4.59E+11,13563.52062,3.63E+11,325.0340088
1992,7.56E+11,1.74E+11,3612.996444,1.05E+12,4.48E+11,13833.49728,2.93E+11,315.5355096
1993,6.45E+11,1.82E+11,3173.695595,9.43E+11,3.94E+11,14348.80379,2.98E+11,306.3642353
1994,5.94E+11,1.69E+11,2957.837942,8.63E+11,3.72E+11,14549.37395,2.70E+11,298.7154656
1995,6.33E+11,1.85E+11,3182.119104,9.20E+11,4.08E+11,16207.83021,2.87E+11,290.4831496
1996,7.70E+11,1.86E+11,3865.007331,1.05E+12,5.10E+11,16485.8513,2.81E+11,282.1518929
1997,7.15E+11,1.99E+11,3570.313862,1.01E+12,4.85E+11,16551.14524,2.94E+11,275.8232523
1998,4.79E+11,1.75E+11,2377.8287,7.33E+11,3.30E+11,16342.05333,2.54E+11,271.5928344
1999,6.47E+11,1.73E+11,3360.404549,8.93E+11,4.56E+11,15838.75746,2.46E+11,265.7240816
2000,1.03E+12,3.31E+11,5328.649,1.49E+12,7.52E+11,16491.98735,4.55E+11,257.0826481
2001,7.88E+11,4.50E+11,4571.007636,1.39E+12,5.90E+11,21014.70114,6.01E+11,249.9696894
2002,7.83E+11,4.26E+11,4679.348835,1.34E+12,5.95E+11,21129.84114,5.60E+11,246.0791106
2003,9.15E+11,7.50E+11,5391.34148,1.88E+12,7.11E+11,21884.85406,9.64E+11,240.5958261
2004,1.24E+12,8.14E+11,7155.555,2.26E+12,9.91E+11,22590.52558,1.02E+12,234.3548544
2005,1.75E+12,1.30E+12,10195.44374,3.32E+12,1.44E+12,23481.23855,1.57E+12,226.675023
2006,2.02E+12,8.83E+11,12181.93969,3.06E+12,1.72E+12,24105.90223,1.04E+12,219.5914286
2007,2.17E+12,9.37E+11,13536.75766,3.24E+12,1.90E+12,24909.9678,1.07E+12,213.5102005
2008,2.84E+12,1.24E+12,18186.86691,4.20E+12,2.58E+12,25879.0803,1.36E+12,205.6154907
2009,1.77E+12,5.21E+11,11532.52652,2.35E+12,1.61E+12,24736.67418,5.75E+11,206.3496367
2010,2.31E+12,6.46E+11,14865.66478,3.01E+12,2.13E+12,26624.2781,7.01E+11,203.0195546
2011,3.15E+12,5.85E+11,20804.79683,3.76E+12,2.99E+12,27352.20073,6.16E+11,196.8072766
2012,3.17E+12,3.76E+11,20882.23435,3.56E+12,3.07E+12,26127.08762,3.88E+11,192.8170248
2013,3.06E+12,5.38E+11,20319.14283,3.60E+12,3.01E+12,26807.43335,5.47E+11,190.0334912
2014,2.78E+12,5.47E+11,18502.90348,3.33E+12,2.78E+12,23227.6902,5.47E+11,187
2015,0,0,0,0,0,0,0,0
2016,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
